"Release Date
(Packaging)",ES Release Date,VN Release Date,EzServer,Status,Stage,AxisY,"Included
EzWebServer",Supporting CleverOne,"Supporting
EzDent-i","Supporting
Ez3D-i","Supporting
EzOrtho","Supporting
EzMobile","Supporting
EzDent Web",Supporting EzDent Web for Tablet,Supporting EzCommonTools,"Supporting
EzGate",Supporting Ez-iScan,Comment,Link,E2 DB,E3 DB,SC DB,IMPLANT DB,LOG DB,SETTING DB,EzOrtho Data Version,Service Config File Format,DB Accounts Revision,VTDBConfig.ini version,EIF Version,EzServer Installer,EzServer AuthProvider,EzServer LicenseManager,EzServer Messenger,EzServer Updater,EzServer REST API v2,EzServer WebConsole,EzLauncher,EzServer OpenSource Licenses,EzServer License Manager Frontend,EzServer Updater Frontend,Sharing Manager (EzCloud v0.9),EzServer Manager App,EzServer Manager Service,EzServer Control Panel,EzServer Service,VTDBBackup,Password Init Tool,DB,PMS Integration REST API Version,PMS Integration AMQP protocol version,nginx,php,dcmtk,node,Qt,ffmpeg,7z,ImageMagick,OpenSSL,LexFloatServer,LexActivator,SHA256,"EzServer PI Disposer
(Not Inclued)",EzServer Migration Tool (Not Included),"EzCommonTools
(Not Included)"
2025-12-15,,N/A,v6.3.0.0,Released,FCS,40,v6.3.0.0,~ v1.5.0.1,~ v3.5.20.0,~ v5.5.11.1,~ v1.3.11.1,~ v1.1.7.0 Patch,~ v1.2.5.0,~ v1.2.5.0,~ v1.2.5.1,~ v1.0.12.0,,,,v34,v10,v12,v11,v2,v13,v8,v8,r2,v3,v2,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v0.9.0,N/A,N/A,v6.3.0.0,v6.3.0.0,v6.3.0.0,v6.3.0.0,PostgreSQL v15.5.1 (64bit),v5,v3,v1.28.0 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - AuthProvider
v18 (64bit) - Others",v5.15.5 (x86),v7.1.1 (x64),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.13.3 (x64) - Unboxed,v3.31.0 (x64),9594dc62ec0f29d2f998c0214ccfaa88482898a9dec3b506f0c368a03aa79bef,v6.3.0,v1.0.0.3,v2.0.0.2
2025-12-05,,2025-12-08,v6.2.4.1,Released,FCS,20,v6.2.4.1,~ v1.0.6.2,,,,~ v1.1.7.0 Patch,,,,,,다른 버전의 psql 이 설치된 경우 Installer 동작안되는 문제 해결,,v33,v10,v12,v11,v2,v12,v8,v7,r2,v3,v2,v6.2.4,v6.2.4,v6.2.4,v6.2.4,v6.2.4,v6.2.4,v6.2.4,v6.2.4,v6.2.4,v6.2.4,v6.2.4,v0.9.0,N/A,N/A,v6.2.4.1,v6.2.4.1,v6.2.4.1,v6.2.4.1,PostgreSQL v15.5.1 (64bit),v4,v3,v1.24 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - AuthProvider
v18 (64bit) - Others",v5.15.5 (x86),v7.0.2 (x64),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.13.3 (x64) - Unboxed,v3.31.0 (x64),2f296653d96c8796835c1101db6c1e7873ee65b2487407ca1a23c96461b20605,v6.3.0,v1.0.0.3,v1.1.3.0
2025-12-01,,N/A,v6.2.4.0,Released,FCS,10,v6.2.4.0,~ v1.0.6.2,,,,~ v1.1.7.0 Patch,,,,,,다른 버전의 psql 이 설치된 경우 Installer 동작안되는 문제 해결,,v33,v10,v12,v11,v2,v12,v8,v7,r2,v3,v2,v6.2.4,v6.2.4,v6.2.4,v6.2.4,v6.2.4,v6.2.4,v6.2.4,v6.2.4,v6.2.4,v6.2.4,v6.2.4,v0.9.0,N/A,N/A,v6.2.4.0,v6.2.4.0,v6.2.4.0,v6.2.4.0,PostgreSQL v15.5.1 (64bit),v4,v3,v1.24 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - AuthProvider
v18 (64bit) - Others",v5.15.5 (x86),v7.0.2 (x64),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.13.3 (x64) - Unboxed,v3.31.0 (x64),"1cba2e427532513ee44ad4e2832a2e26c437e21a0cb8403802fd6bb23ce9da59",v6.3.0,v1.0.0.3,v1.1.3.0
2026-01-20,,,v5.5.4.0,Unreleased,FCS,10,v5.5.4.0,~ v1.0.6.2,~ v3.5.20.7,~ v5.5.11.4,~ v1.3.11.1,~ v1.1.7.0 Patch,~ v1.2.5.0,~ v1.2.5.0,~ v2.0.0.3,~ v1.0.12.0,,,,v31,v10,v11,v10,v2,v9,v8,v8,r1,v2,N/A,N/A,v5.5.3,v5.5.3,v5.5.3,v5.5.3,N/A,v5.5.3,v5.5.3,v5.5.3,v5.5.3,v5.5.3,v0.9.0,N/A,N/A,v5.5.3.0,v5.5.3.0,v5.5.3.0,v5.5.3.0,PostgreSQL v9.2.2 (32bit),v3,v3,v1.24 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - Others
v14 (32bit) - Messenger, Updater",v5.10.1 (x86),v3.2.4 (x86),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.13.3 (x86) - Unboxed,v3.31.0 (x86),cb6ab0917f3b5dea25211e52ee18b498d464d5583e3e6d8c71c0eeeed1327d7a,v6.3.0,v1.0.0.3,v1.1.3.0
2025-11-14,,,v6.3.0.b1,Released,Beta,-20,v6.3.0.b1,,,,,~ v1.1.7.0 Patch,,,,,,,,v34,v10,v12,v11,v2,v13,v8,v8,r2,v3,v2,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v0.9.0,N/A,N/A,v6.3.0.0,v6.3.0.0,v6.3.0.0,v6.3.0.0,PostgreSQL v15.5.1 (64bit),v5,v3,v1.28.0 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - AuthProvider
v18 (64bit) - Others",v5.15.5 (x86),v7.1.1 (x64),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.13.3 (x64) - Unboxed,v3.31.0 (x64),"8e888a0f2f2b6d1ca563ec3064b1586b9a7178b22865d163aad91e4c8c69042d",v6.3.0,v1.0.0.3,v1.1.3.0
2025-09-29,,,v6.3.0.a1,Released,Alpha,-30,v6.3.0.a1,,,,,~ v1.1.7.0 Patch,,,,,,,,v34,v10,v12,v11,v2,v13,v8,v8,r2,v3,v2,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v0.9.0,N/A,N/A,v6.3.0.0,v6.3.0.0,v6.3.0.0,v6.3.0.0,PostgreSQL v15.5.1 (64bit),v5,v3,v1.28.0 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - AuthProvider
v18 (64bit) - Others",v5.15.5 (x86),v7.1.1 (x64),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.13.3 (x64) - Unboxed,v3.31.0 (x64),"5aa787154b873975eeba20ab2a3bfdc4b86c3953dbe552b4a8144fc13dbf28da",v5.4.0,v1.0.0.3,v1.1.3.0
2025-08-28,,,v6.2.3.0,Released,FCS,30,v6.2.3.0,~ v1.0.6.1,,,,~ v1.1.7.0 Patch,,,,,,폴더 삭제 이슈 해결 버전 (ESTS-222),,v33,v10,v12,v11,v2,v12,v8,v7,r2,v3,v2,v6.2.3,v6.2.3,v6.2.3,v6.2.3,v6.2.3,v6.2.3,v6.2.3,v6.2.3,v6.2.3,v6.2.3,v6.2.3,v0.9.0,N/A,N/A,v6.2.3.0,v6.2.3.0,v6.2.3.0,v6.2.3.0,PostgreSQL v15.5.1 (64bit),v4,TBD,v1.24 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - AuthProvider
v18 (64bit) - Others",v5.15.5 (x86),v7.0.2 (x64),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.13.3 (x64) - Unboxed,v3.31.0 (x64),f5743ed40d0e682e3d0dd39adcc27d15d4c9a0a04d67b0790c9baabc4c6cd04f,v5.4.0,v1.0.0.3,v1.1.3.0
2025-08-28,,,v5.5.3.0,Released,FCS,20,v5.5.3.0,~ v1.0.6.1,,,,~ v1.1.7.0 Patch,,,,,,폴더 삭제 이슈 해결 버전 (ESTS-222),,v31,v10,v11,v10,v2,v9,v8,v6,r1,v2,N/A,N/A,v5.5.3,v5.5.3,v5.5.3,v5.5.3,N/A,v5.5.3,v5.5.3,v5.5.3,v5.5.3,v5.5.3,v0.9.0,N/A,N/A,v5.5.3.0,v5.5.3.0,v5.5.3.0,v5.5.3.0,PostgreSQL v9.2.2 (32bit),v3,TBD,v1.24 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - Others
v14 (32bit) - Messenger, Updater",v5.10.1 (x86),v3.2.4 (x86),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.13.3 (x86) - Unboxed,v3.31.0 (x86),274f3778ba8d00adedbff85cb48068fb80a3bc79fc922accfa9a41624f467d53,v5.4.0,v1.0.0.3,v1.1.3.0
2025-08-01,,,v6.2.2.0,Released,FCS,10,v6.2.2.0,~ v1.0.5.0,,,,~ v1.1.7.0 Patch,,,,,,,,v33,v10,v12,v11,v2,v12,v8,v7,r2,v3,v2,v6.2.2,v6.2.2,v6.2.2,v6.2.2,v6.2.2,v6.2.2,v6.2.2,v6.2.2,v6.2.2,v6.2.2,v6.2.2,v0.9.0,N/A,N/A,v6.2.2.0,v6.2.2.0,v6.2.2.0,v6.2.2.0,PostgreSQL v15.5.1 (64bit),v4,TBD,v1.24 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - AuthProvider
v18 (64bit) - Others",v5.15.5 (x86),v7.0.2 (x64),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.13.3 (x64) - Unboxed,v3.31.0 (x64),b850b52dddb9e64cd1ffe9b2db68317fbc45867e03420b6cd01441fc6aab1a07,v5.4.0,v1.0.0.3,v1.1.3.0
2025-05-30,,,v6.2.1.0,Released,FCS,10,v6.2.1.0,~ v1.0.2.1,,,,~ v1.1.7.0 Patch,,,,,,,,v33,v10,v12,v11,v2,v12,v8,v7,r2,v3,v2,v6.2.1,v6.2.1,v6.2.1,v6.2.1,v6.2.1,v6.2.1,v6.2.1,v6.2.1,v6.2.1,v6.2.1,v6.2.1,v0.9.0,N/A,N/A,v6.2.1.0,v6.2.1.0,v6.2.1.0,v6.2.1.0,PostgreSQL v15.5.1 (64bit),v4,TBD,v1.24 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - AuthProvider
v18 (64bit) - Others",v5.15.5 (x86),v7.0.2 (x64),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.13.3 (x64) - Unboxed,v3.31.0 (x64),5f3bdb76d91630e7b0939ca285096ff383631b91301d6117548461b28d08ff46,v5.4.0,v1.0.0.3,v1.1.3.0
2025-05-14,,,v6.2.1.b1,Released,Beta,-15,v6.2.1.b1,,,,,~ v1.1.7.0 Patch,,,,,,,,v33,v10,v12,v11,v2,v12,v8,v7,r2,v3,v2,v6.2.1,v6.2.1,v6.2.1,v6.2.1,v6.2.1,v6.2.1,v6.2.1,v6.2.1,v6.2.1,v6.2.1,v6.2.1,v0.9.0,N/A,N/A,v6.2.0.b1,v6.2.0.b1,v6.2.0.b1,v6.2.0.b1,PostgreSQL v15.5.1 (64bit),v4,TBD,v1.24 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - AuthProvider
v18 (64bit) - Others",v5.15.5 (x86),v7.0.2 (x64),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.13.3 (x64) - Unboxed,v3.31.0 (x64),4022b10ad49c98aba8ace1a7d2df1c72879a1a588d994570271c917acb6dec1c,v5.4.0,v1.0.0.3,
2025-03-24,,,v6.2.0.0,Released,FCS,10,v6.2.0.0,~ v1.0.0.2,~ v3.5.15.0,~ v5.5.10.1,v1.2.0.0 ~ v1.3.9.1,~ v1.1.7.0 Patch,"v1.0.1.a1 ~
v1.2.0.6",~ v1.2.0.6,~ v1.1.2.1,~ v1.0.10.1,,"EzCloud v1.0.0, CleverOne v1.0.0 Integration",,v33,v10,v12,v11,v2,v11,v8,v7,r2,v3,v2,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v0.9.0,N/A,N/A,v6.2.0.0,v6.2.0.0,v6.2.0.0,v6.2.0.0,PostgreSQL v15.5.1 (64bit),v4,TBD,v1.24 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - AuthProvider
v18 (64bit) - Others",v5.15.5 (x86),v7.0.2 (x64),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.13.3 (x64) - Unboxed,v3.31.0 (x64),d705511f46685a85e38e5ec3802398d5fd58dcd654b9c2b367eb917260459440,v5.4.0,v1.0.0.2,
2025-03-19,,,v6.2.0.b3,Released,Beta,-15,v6.2.0.b3,N/A,,,,,,,,,,,,v33,v10,v12,v11,v2,v11,v8,v7,r2,v3,v2,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v0.9.0,N/A,N/A,v6.2.0.0,v6.2.0.0,v6.2.0.0,v6.2.0.0,PostgreSQL v15.5.1 (64bit),v4,TBD,v1.24 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - AuthProvider
v18 (64bit) - Others",v5.15.5 (x86),v7.0.2 (x64),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.13.3 (x64) - Unboxed,v3.31.0 (x64),c3430144569055ec90305c480feffc69cb6c5726470052f0537624c047a5b80d,v5.4.0,v1.0.0.1,
2025-03-13,,,v6.2.0.b2,Released,Beta,-30,v6.2.0.b2,N/A,,,,,,,,,,,,v33,v10,v12,v11,v2,v11,v8,v7,r2,v3,v2,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v0.9.0,N/A,N/A,v6.2.0.0,v6.2.0.0,v6.2.0.0,v6.2.0.0,PostgreSQL v15.5.1 (64bit),v4,TBD,v1.24 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - AuthProvider
v18 (64bit) - Others",v5.15.5 (x86),v7.0.2 (x64),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.13.3 (x64) - Unboxed,v3.31.0 (x64),64d0e5555ff363f9dca9f249364be24f308cac453e55b79e938d70f073487c8f,v5.4.0,v1.0.0.1,
2025-03-05,,,v6.2.0.b1,Released,Beta,-40,v6.2.0.b1,N/A,,,,,,,,,,,,v33,v10,v12,v11,v2,v11,v8,v7,r2,v3,v2,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v0.9.0,N/A,N/A,v6.2.0.0,v6.2.0.0,v6.2.0.0,v6.2.0.0,PostgreSQL v15.5.1 (64bit),v4,TBD,v1.24 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - AuthProvider
v18 (64bit) - Others",v5.15.5 (x86),v7.0.2 (x64),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.13.3 (x64) - Unboxed,v3.31.0 (x64),310d5e5340b97b8dd76f9c65bd10a4c4a962b4208c64c74401ad8850df90b178,v5.4.0,v1.0.0.1,
2025-02-24,,,v6.2.0.a1,Released,Alpha,-50,v6.2.0.a1,N/A,,,,,,,,,~ v1.0.0 (TBD),,,v33,v10,v12,v11,v2,v11,v8,v7,r2,v3,v2,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v6.2.0,v0.9.0,N/A,N/A,v6.2.0.0,v6.2.0.0,v6.2.0.0,v6.2.0.0,PostgreSQL v15.5.1 (64bit),v4,TBD,v1.24 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - AuthProvider
v18 (64bit) - Others",v5.15.5 (x86),v7.0.2 (x64),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.13.3 (x64) - Unboxed,v3.31.0 (x64),68e8d36abb9d4ba86b17a24aba449302155edd19c596d8b8b64e3e60d93536f1,v5.4.0,v1.0.0.1,
